Path7_1(x)	Path7_1(y)	Path7_2(x)	Path7_2(y)	Path7_3(x)	Path7_3(y)	Path7_4(x)	Path7_4(y)	Path7_5(x)	Path7_5(y)	Path7_6(x)	Path7_6(y)	Path7_7(x)	Path7_7(y)	Path7_8(x)	Path7_8(y)	Path7_9(x)	Path7_9(y)	Path7_10(x)	Path7_10(y)	Path7_11(x)	Path7_11(y)	Path7_12(x)	Path7_12(y)	Path7_13(x)	Path7_13(y)	Path7_14(x)	Path7_14(y)	Path7_15(x)	Path7_15(y)	Path7_16(x)	Path7_16(y)
22	25	22	25	22	25	22	25	22	25	22	25	22	25	22	25	9	12	10	13	10	13	27	30	27	30	27	30	32	35	32	35
22	24	23	25	22	24	23	25	22	24	23	25	22	24	23	25	10	12	10	12	10	12	28	30	28	30	28	30	33	35	33	35
22	23	24	25	22	23	24	25	22	23	24	25	22	23	24	25	11	12	11	12	11	12	29	30	29	30	29	30	34	35	34	35
22	22	25	25	22	22	25	25	22	22	25	25	22	22	25	25	12	12	12	12	12	12	30	30	30	30	30	30	35	35	35	35
23	22	25	24	23	22	25	24	23	22	25	24	23	22	25	24	13	12	13	12	13	12	30	29	30	29	30	29	35	34	35	34
24	22	25	23	24	22	25	23	24	22	25	23	24	22	25	23	14	12	14	12	14	12	30	28	30	28	30	28	35	33	35	33
25	22	25	22	25	22	25	22	25	22	25	22	25	22	25	22	15	12	15	12	15	12	30	27	30	27	30	27	35	32	35	32
25	21	25	21	25	21	25	21	25	21	25	21	25	21	25	21	16	12	16	12	16	12	30	26	30	26	30	26	35	31	35	31
25	20	25	20	25	20	25	20	25	20	25	20	25	20	25	20	17	12	17	12	17	12	30	25	30	25	30	25	35	30	35	30
25	19	25	19	25	19	25	19	25	19	25	19	25	19	25	19	18	12	18	12	18	12	30	24	30	24	30	24	35	29	35	29
25	18	25	18	25	18	25	18	25	18	25	18	25	18	25	18	19	12	19	12	19	12	30	23	30	23	30	23	35	28	35	28
25	17	25	17	25	17	25	17	25	17	25	17	25	17	25	17	20	12	20	12	20	12	30	22	30	22	30	22	35	27	35	27
25	16	25	16	25	16	25	16	25	16	25	16	25	16	25	16	21	12	21	12	21	12	30	21	30	21	30	21	35	26	35	26
25	15	25	15	25	15	25	15	25	15	25	15	25	15	25	15	22	12	22	12	22	12	30	20	30	20	30	20	35	25	35	25
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	13	22	13	22	13	30	19	30	19	30	19	35	24	35	24
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	14	22	14	22	14	30	18	30	18	30	18	35	23	35	23
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	15	22	15	22	15	30	17	30	17	30	17	35	22	35	22
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	15	23	15	23	15	30	16	30	16	30	16	34	22	35	21
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	15	24	15	24	15	30	15	30	15	30	15	33	22	35	20
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	25	15	25	15	29	15	29	15	29	15	32	22	35	19
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	15	28	15	28	15	31	22	35	18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	15	27	15	27	15	30	22	35	17
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	15	26	15	26	15	30	21	35	16
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	25	15	25	15	30	20	35	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	19	35	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	18	35	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	17	35	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	16	34	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	15	33	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	15	32	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	15	31	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	15	30	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	15	30	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	30	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15
