Path4_1(x)	Path4_1(y)	Path4_2(x)	Path4_2(y)	Path4_3(x)	Path4_3(y)	Path4_4(x)	Path4_4(y)	Path4_5(x)	Path4_5(y)	Path4_6(x)	Path4_6(y)	Path4_7(x)	Path4_7(y)	Path4_8(x)	Path4_8(y)	Path4_9(x)	Path4_9(y)
32	17	35	20	35	20	32	21	35	24	40	25	40	29	40	25	40	29
32	16	35	19	35	19	32	20	35	23	40	24	40	28	40	24	40	28
32	15	35	18	35	18	32	19	35	22	40	23	40	27	40	23	40	27
33	15	35	17	35	17	32	18	35	21	40	22	40	26	40	22	40	26
34	15	35	16	35	16	32	17	35	20	39	22	40	25	40	21	40	25
35	15	35	15	35	15	32	16	35	19	38	22	40	24	40	20	40	24
0	0	0	0	0	0	32	15	35	18	37	22	40	23	40	19	40	23
0	0	0	0	0	0	33	15	35	17	36	22	40	22	40	18	40	22
0	0	0	0	0	0	34	15	35	16	35	22	39	22	40	17	40	21
0	0	0	0	0	0	35	15	35	15	35	21	38	22	40	16	40	20
0	0	0	0	0	0	0	0	0	0	35	20	37	22	40	15	40	19
0	0	0	0	0	0	0	0	0	0	35	19	36	22	40	14	40	18
0	0	0	0	0	0	0	0	0	0	35	18	35	22	40	13	40	17
0	0	0	0	0	0	0	0	0	0	35	17	35	21	40	12	40	16
0	0	0	0	0	0	0	0	0	0	35	16	35	20	40	11	40	15
0	0	0	0	0	0	0	0	0	0	35	15	35	19	40	10	40	14
0	0	0	0	0	0	0	0	0	0	0	0	35	18	39	10	40	13
0	0	0	0	0	0	0	0	0	0	0	0	35	17	38	10	40	12
0	0	0	0	0	0	0	0	0	0	0	0	35	16	37	10	40	11
0	0	0	0	0	0	0	0	0	0	0	0	35	15	36	10	40	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	10	39	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	10	38	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	10	37	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	10	36	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	11	35	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	12	34	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	13	33	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	14	32	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	15	32	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	15	32	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	15	32	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	15	32	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	15
