Path12_1(x)	Path12_1(y)	Path12_2(x)	Path12_2(y)	Path12_3(x)	Path12_3(y)	Path12_4(x)	Path12_4(y)	Path12_5(x)	Path12_5(y)	Path12_6(x)	Path12_6(y)	Path12_7(x)	Path12_7(y)	Path12_8(x)	Path12_8(y)	Path12_9(x)	Path12_9(y)	Path12_10(x)	Path12_10(y)	Path12_11(x)	Path12_11(y)	Path12_12(x)	Path12_12(y)	Path12_13(x)	Path12_13(y)	Path12_14(x)	Path12_14(y)	Path12_15(x)	Path12_15(y)	Path12_16(x)	Path12_16(y)	Path12_17(x)	Path12_17(y)	Path12_18(x)	Path12_18(y)	Path12_19(x)	Path12_19(y)	Path12_20(x)	Path12_20(y)	Path12_21(x)	Path12_21(y)	Path12_22(x)	Path12_22(y)
5	22	5	22	10	27	10	27	10	27	10	27	10	27	10	27	17	34	17	34	15	32	15	32	15	32	15	32	15	32	15	32	15	32	15	32	15	32	15	32	15	32	15	32
5	21	5	21	10	26	10	26	10	26	10	26	10	26	10	26	17	33	17	33	16	32	16	32	16	32	16	32	16	32	16	32	16	32	16	32	16	32	16	32	16	32	16	32
5	20	5	20	10	25	10	25	10	25	10	25	10	25	10	25	17	32	17	32	17	32	17	32	17	32	17	32	17	32	17	32	17	32	17	32	17	32	17	32	17	32	17	32
5	19	5	19	10	24	10	24	10	24	10	24	10	24	10	24	17	31	17	31	17	31	17	31	17	31	17	31	17	31	17	31	17	31	17	31	17	31	17	31	17	31	17	31
5	18	5	18	10	23	10	23	10	23	10	23	10	23	10	23	17	30	17	30	17	30	17	30	17	30	17	30	17	30	17	30	17	30	17	30	17	30	17	30	17	30	17	30
6	18	6	18	10	22	10	22	10	22	10	22	10	22	10	22	17	29	17	29	17	29	17	29	17	29	17	29	17	29	17	29	17	29	17	29	17	29	17	29	17	29	17	29
7	18	7	18	10	21	10	21	10	21	10	21	10	21	10	21	17	28	17	28	17	28	17	28	17	28	17	28	17	28	17	28	17	28	17	28	17	28	17	28	17	28	17	28
8	18	8	18	10	20	10	20	10	20	10	20	10	20	10	20	17	27	17	27	17	27	17	27	17	27	17	27	17	27	17	27	17	27	17	27	17	27	17	27	17	27	17	27
9	18	9	18	10	19	10	19	10	19	10	19	10	19	10	19	17	26	17	26	17	26	17	26	17	26	17	26	17	26	17	26	17	26	17	26	17	26	17	26	17	26	17	26
10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	17	25	17	25	17	25	17	25	17	25	17	25	17	25	17	25	17	25	17	25	17	25	17	25	17	25	17	25
10	17	10	17	10	17	10	17	10	19	10	19	11	18	11	18	16	25	16	25	16	25	16	25	16	25	16	25	16	25	16	25	16	25	16	25	16	25	16	25	16	25	16	25
10	16	10	16	10	16	10	16	10	20	10	20	12	18	12	18	15	25	15	25	15	25	15	25	15	25	15	25	15	25	15	25	15	25	15	25	15	25	15	25	15	25	15	25
10	15	10	15	10	15	10	15	10	21	10	21	13	18	13	18	15	24	15	24	15	24	15	24	15	24	15	24	15	24	15	24	15	24	15	24	15	24	15	24	15	24	15	24
10	14	10	14	10	14	10	14	10	22	10	22	14	18	14	18	15	23	15	23	15	23	15	23	15	23	15	23	15	23	15	23	15	23	15	23	15	23	15	23	15	23	15	23
10	13	10	13	10	13	10	13	11	22	11	22	15	18	15	18	15	22	15	22	15	22	15	22	15	22	15	22	15	22	15	22	15	22	15	22	15	22	15	22	15	22	15	22
10	12	10	12	10	12	10	12	12	22	12	22	15	19	15	19	14	22	14	22	14	22	14	22	15	21	15	21	14	22	14	22	14	22	14	22	15	21	15	21	15	21	15	21
10	11	10	11	10	11	10	11	13	22	13	22	15	20	15	20	13	22	13	22	13	22	13	22	15	20	15	20	13	22	13	22	13	22	13	22	15	20	15	20	15	20	15	20
10	10	10	10	10	10	10	10	14	22	14	22	15	21	15	21	12	22	12	22	12	22	12	22	15	19	15	19	12	22	12	22	12	22	12	22	15	19	15	19	15	19	15	19
11	10	11	10	11	10	11	10	15	22	15	22	15	22	15	22	11	22	11	22	11	22	11	22	15	18	15	18	11	22	11	22	11	22	11	22	15	18	15	18	15	18	15	18
12	10	12	10	12	10	12	10	16	22	16	22	16	22	16	22	10	22	10	22	10	22	10	22	14	18	14	18	10	22	10	22	10	22	10	22	14	18	14	18	14	18	14	18
13	10	13	10	13	10	13	10	17	22	17	22	17	22	17	22	10	21	10	21	10	21	10	21	13	18	13	18	10	21	10	21	10	21	10	21	13	18	13	18	13	18	13	18
14	10	14	10	14	10	14	10	17	21	17	21	17	21	17	21	10	20	10	20	10	20	10	20	12	18	12	18	10	20	10	20	10	20	10	20	12	18	12	18	12	18	12	18
15	10	15	10	15	10	15	10	17	20	17	20	17	20	17	20	10	19	10	19	10	19	10	19	11	18	11	18	10	19	10	19	10	19	10	19	11	18	11	18	11	18	11	18
16	10	16	10	16	10	16	10	17	19	17	19	17	19	17	19	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18
17	10	17	10	17	10	17	10	17	18	17	18	17	18	17	18	10	17	10	17	10	17	10	17	10	17	10	17	10	19	10	19	11	18	11	18	10	19	10	19	11	18	11	18
17	11	18	10	17	11	18	10	17	17	17	17	17	17	17	17	10	16	10	16	10	16	10	16	10	16	10	16	10	20	10	20	12	18	12	18	10	20	10	20	12	18	12	18
17	12	19	10	17	12	19	10	17	16	17	16	17	16	17	16	10	15	10	15	10	15	10	15	10	15	10	15	10	21	10	21	13	18	13	18	10	21	10	21	13	18	13	18
18	12	20	10	18	12	20	10	17	15	17	15	17	15	17	15	10	14	10	14	10	14	10	14	10	14	10	14	10	22	10	22	14	18	14	18	10	22	10	22	14	18	14	18
19	12	21	10	19	12	21	10	17	14	17	14	17	14	17	14	10	13	10	13	10	13	10	13	10	13	10	13	11	22	11	22	15	18	15	18	11	22	11	22	15	18	15	18
20	12	22	10	20	12	22	10	17	13	17	13	17	13	17	13	10	12	10	12	10	12	10	12	10	12	10	12	12	22	12	22	15	19	15	19	12	22	12	22	15	19	15	19
21	12	22	11	21	12	22	11	17	12	17	12	17	12	17	12	10	11	10	11	10	11	10	11	10	11	10	11	13	22	13	22	15	20	15	20	13	22	13	22	15	20	15	20
22	12	22	12	22	12	22	12	17	11	17	11	17	11	17	11	10	10	10	10	10	10	10	10	10	10	10	10	14	22	14	22	15	21	15	21	14	22	14	22	15	21	15	21
22	13	22	13	22	13	22	13	17	10	17	10	17	10	17	10	11	10	11	10	11	10	11	10	11	10	11	10	15	22	15	22	15	22	15	22	15	22	15	22	15	22	15	22
22	14	22	14	22	14	22	14	17	11	18	10	17	11	18	10	12	10	12	10	12	10	12	10	12	10	12	10	16	22	16	22	16	22	16	22	16	22	16	22	16	22	16	22
22	15	22	15	22	15	22	15	17	12	19	10	17	12	19	10	13	10	13	10	13	10	13	10	13	10	13	10	17	22	17	22	17	22	17	22	17	22	17	22	17	22	17	22
23	15	23	15	23	15	23	15	18	12	20	10	18	12	20	10	14	10	14	10	14	10	14	10	14	10	14	10	17	21	17	21	17	21	17	21	17	21	17	21	17	21	17	21
24	15	24	15	24	15	24	15	19	12	21	10	19	12	21	10	15	10	15	10	15	10	15	10	15	10	15	10	17	20	17	20	17	20	17	20	17	20	17	20	17	20	17	20
25	15	25	15	25	15	25	15	20	12	22	10	20	12	22	10	16	10	16	10	16	10	16	10	16	10	16	10	17	19	17	19	17	19	17	19	17	19	17	19	17	19	17	19
0	0	0	0	0	0	0	0	21	12	22	11	21	12	22	11	17	10	17	10	17	10	17	10	17	10	17	10	17	18	17	18	17	18	17	18	17	18	17	18	17	18	17	18
0	0	0	0	0	0	0	0	22	12	22	12	22	12	22	12	17	11	18	10	17	11	18	10	17	11	18	10	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17
0	0	0	0	0	0	0	0	22	13	22	13	22	13	22	13	17	12	19	10	17	12	19	10	17	12	19	10	17	16	17	16	17	16	17	16	17	16	17	16	17	16	17	16
0	0	0	0	0	0	0	0	22	14	22	14	22	14	22	14	18	12	20	10	18	12	20	10	18	12	20	10	17	15	17	15	17	15	17	15	17	15	17	15	17	15	17	15
0	0	0	0	0	0	0	0	22	15	22	15	22	15	22	15	19	12	21	10	19	12	21	10	19	12	21	10	17	14	17	14	17	14	17	14	17	14	17	14	17	14	17	14
0	0	0	0	0	0	0	0	23	15	23	15	23	15	23	15	20	12	22	10	20	12	22	10	20	12	22	10	17	13	17	13	17	13	17	13	17	13	17	13	17	13	17	13
0	0	0	0	0	0	0	0	24	15	24	15	24	15	24	15	21	12	22	11	21	12	22	11	21	12	22	11	17	12	17	12	17	12	17	12	17	12	17	12	17	12	17	12
0	0	0	0	0	0	0	0	25	15	25	15	25	15	25	15	22	12	22	12	22	12	22	12	22	12	22	12	17	11	17	11	17	11	17	11	17	11	17	11	17	11	17	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	13	22	13	22	13	22	13	22	13	22	13	17	10	17	10	17	10	17	10	17	10	17	10	17	10	17	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	14	22	14	22	14	22	14	22	14	22	14	17	11	18	10	17	11	18	10	17	11	18	10	17	11	18	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	15	22	15	22	15	22	15	22	15	22	15	17	12	19	10	17	12	19	10	17	12	19	10	17	12	19	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	15	23	15	23	15	23	15	23	15	23	15	18	12	20	10	18	12	20	10	18	12	20	10	18	12	20	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	15	24	15	24	15	24	15	24	15	24	15	19	12	21	10	19	12	21	10	19	12	21	10	19	12	21	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	25	15	25	15	25	15	25	15	25	15	20	12	22	10	20	12	22	10	20	12	22	10	20	12	22	10
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	12	22	11	21	12	22	11	21	12	22	11	21	12	22	11
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	12	22	12	22	12	22	12	22	12	22	12	22	12	22	12
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	13	22	13	22	13	22	13	22	13	22	13	22	13	22	13
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	14	22	14	22	14	22	14	22	14	22	14	22	14	22	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	15	22	15	22	15	22	15	22	15	22	15	22	15	22	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	15	23	15	23	15	23	15	23	15	23	15	23	15	23	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	15	24	15	24	15	24	15	24	15	24	15	24	15	24	15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	15	25	15	25	15	25	15	25	15	25	15	25	15	25	15
