The test problem	The pareto optimal paths	The objective values	Number of paths
Test problem 10	Path10_109_109	97,31.8,19.7,30,31.2,19.3,50.3	1
Test problem 10	Path10_110_110	97,31.8,19.7,30.4,30.9,19.3,51.5	1
Test problem 10	Path10_111_111	97,31.8,19.8,30.7,31.1,20.5,48.9	1
Test problem 10	Path10_112_113	97,31.9,18.4,44.7,16.3,39.3,29.7	2
Test problem 10	Path10_114_114	97,32,19.8,30.7,31.8,20.6,48.6	1
Test problem 10	Path10_115_115	97,32.2,19.8,31.1,31.4,20.7,48.5	1
Test problem 10	Path10_116_116	97,32.3,20.1,31.5,31.7,19,51.7	1
Test problem 10	Path10_117_117	97,32.3,20.1,31.9,31.4,19,51.9	1
Test problem 10	Path10_118_118	97,32.4,18.9,45,15.7,38.6,29.7	1
Test problem 10	Path10_119_119	97,32.4,19.7,30.4,31.7,19,49.9	1
Test problem 10	Path10_120_120	97,32.4,19.7,30.8,31.4,19,51.1	1
Test problem 10	Path10_121_121	97,32.4,19.8,31.1,31.6,20.2,48.5	1
Test problem 10	Path10_122_122	97,32.5,19,45.3,16.5,37.8,29.7	1
Test problem 10	Path10_123_123	97,32.6,18.4,46.1,19.3,35.7,31.6	1
Test problem 10	Path10_124_125	97,32.8,18.4,46.1,19.2,35.6,31.7	2
Test problem 10	Path10_126_126	97,32.8,19.5,33.8,26.1,19.4,50.1	1
Test problem 10	Path10_127_128	97,33,13.7,47,16.3,39.1,31.1	2
Test problem 10	Path10_129_130	97,33.1,13.7,47.2,16.3,38.8,31.4	2
Test problem 10	Path10_131_131	97,33.1,18.9,46.4,18.7,35,31.6	1
Test problem 10	Path10_132_132	97,33.2,19,46.7,19.5,34.2,31.6	1
Test problem 10	Path10_133_133	97,33.2,19.5,33.6,25.7,19.8,50.7	1
Test problem 10	Path10_134_135	97,33.3,18.9,46.4,18.6,34.9,31.7	2
Test problem 10	Path10_136_137	97,33.4,19,46.7,19.4,34.1,31.7	2
Test problem 10	Path10_138_138	97,33.5,14.2,47.3,15.7,38.4,31.1	1
Test problem 10	Path10_139_140	97,33.6,13.3,46.7,16.3,39.1,32.1	2
Test problem 10	Path10_141_141	97,33.6,14.2,47.5,15.7,38.1,31.4	1
Test problem 10	Path10_142_142	97,33.6,14.3,47.6,16.5,37.6,31.1	1
Test problem 10	Path10_143_143	97,33.6,18.3,30.9,30.7,20.5,49.6	1
Test problem 10	Path10_144_144	97,33.6,18.3,31.3,30.4,20.5,49.8	1
Test problem 10	Path10_145_146	97,33.7,13.3,46.9,16.3,38.8,32.4	2
Test problem 10	Path10_147_147	97,33.7,14.3,47.8,16.5,37.3,31.4	1
Test problem 10	Path10_148_148	97,33.7,17.2,33.5,26,31.4,42	1
Test problem 10	Path10_149_149	97,33.8,18.3,30.9,31.4,20.6,49.3	1
Test problem 10	Path10_150_150	97,33.8,18.3,31.3,31.1,20.6,49.5	1
Test problem 10	Path10_151_151	97,34,18.3,31.3,31,20.7,49.2	1
Test problem 10	Path10_152_152	97,34,18.3,31.7,30.7,20.7,49.4	1
Test problem 10	Path10_153_153	97,34.1,13.8,47,15.7,38.4,32.1	1
Test problem 10	Path10_154_154	97,34.2,13.8,47.2,15.7,38.1,32.4	1
Test problem 10	Path10_155_155	97,34.2,13.9,47.3,16.5,37.6,32.1	1
Test problem 10	Path10_156_156	97,34.2,17.7,33.8,25.4,30.7,42	1
Test problem 10	Path10_157_157	97,34.2,18.3,31.3,31.2,20.2,49.2	1
Test problem 10	Path10_158_158	97,34.2,18.3,31.7,30.9,20.2,49.4	1
Test problem 10	Path10_159_159	97,34.3,13.9,47.5,16.5,37.3,32.4	1
Test problem 10	Path10_160_160	97,34.3,17.8,34.1,26.2,29.9,42	1
Test problem 10	Path10_161_161	97,34.4,18.1,32.5,31.2,19.3,51.7	1
Test problem 10	Path10_162_162	97,34.4,18.1,32.9,30.9,19.3,51.9	1
Test problem 10	Path10_163_163	97,34.4,18.4,45,21.1,35.6,31.9	1
Test problem 10	Path10_164_164	97,34.5,17.7,31.4,31.2,19.3,49.9	1
Test problem 10	Path10_165_165	97,34.5,17.7,31.8,30.9,19.3,51.1	1
Test problem 10	Path10_166_167	97,34.6,15.5,44.9,16.3,39.1,31.8	2
Test problem 10	Path10_168_169	97,34.7,15.5,45.1,16.3,38.8,32.1	2
Test problem 10	Path10_170_170	97,34.8,18.4,34,26,19.4,50.9	1
Test problem 10	Path10_171_171	97,34.9,18,32.9,26,19.4,49.1	1
Test problem 10	Path10_172_172	97,34.9,18.9,45.3,20.5,34.9,31.9	1
Test problem 10	Path10_173_173	97,35,18.1,32.9,31.7,19,51.3	1
Test problem 10	Path10_174_174	97,35,18.1,33.3,31.4,19,51.5	1
Test problem 10	Path10_175_175	97,35,19,45.6,21.3,34.1,31.9	1
Test problem 10	Path10_176_176	97,35.1,16,45.2,15.7,38.4,31.8	1
Test problem 10	Path10_177_177	97,35.1,17.3,31.1,31.2,19.3,50.9	1
Test problem 10	Path10_178_178	97,35.1,17.3,31.5,30.9,19.3,52.1	1
Test problem 10	Path10_179_179	97,35.1,17.7,31.8,31.7,19,49.5	1
Test problem 10	Path10_180_180	97,35.1,17.7,32.2,31.4,19,50.7	1
Test problem 10	Path10_181_181	97,35.2,16,45.4,15.7,38.1,32.1	1
Test problem 10	Path10_182_182	97,35.2,16.1,45.5,16.5,37.6,31.8	1
Test problem 10	Path10_183_183	97,35.2,18.4,33.8,25.6,19.8,51.5	1
Test problem 10	Path10_184_184	97,35.2,18.4,44.8,20.3,35.4,31.5	1
Test problem 10	Path10_185_185	97,35.3,15.5,46.3,19.3,35.5,33.7	1
Test problem 10	Path10_186_186	97,35.3,16.1,45.7,16.5,37.3,32.1	1
Test problem 10	Path10_187_187	97,35.3,18,32.7,25.6,19.8,49.7	1
Test problem 10	Path10_188_188	97,35.3,19.8,30.5,31.4,21.9,45.8	1
Test problem 10	Path10_189_189	97,35.4,15.5,46.5,19.3,35.2,34	1
Test problem 10	Path10_190_191	97,35.4,18.4,44.8,20.2,35.3,31.6	2
Test problem 10	Path10_192_192	97,35.4,19.5,34.2,26.6,19.3,50.4	1
Test problem 10	Path10_193_194	97,35.5,15.5,46.3,19.2,35.4,33.8	2
Test problem 10	Path10_195_195	97,35.5,15.7,33.7,25.6,31.4,42.7	1
Test problem 10	Path10_196_196	97,35.5,15.7,34.1,25.3,31.4,42.9	1
Test problem 10	Path10_197_197	97,35.5,19.8,30.5,32.1,22,45.5	1
Test problem 10	Path10_198_199	97,35.6,15.5,46.5,19.2,35.1,34.1	2
Test problem 10	Path10_200_200	97,35.7,17.3,31.5,31.7,19,50.5	1
Test problem 10	Path10_201_201	97,35.7,17.3,31.9,31.4,19,51.7	1
Test problem 10	Path10_202_202	97,35.7,18.9,45.1,19.7,34.7,31.5	1
Test problem 10	Path10_203_203	97,35.7,19.8,30.9,31.7,22.1,45.4	1
Test problem 10	Path10_204_204	97,35.8,16,46.6,18.7,34.8,33.7	1
Test problem 10	Path10_205_205	97,35.8,19,45.4,20.5,33.9,31.5	1
Test problem 10	Path10_206_206	97,35.9,16,46.8,18.7,34.5,34	1
Test problem 10	Path10_207_207	97,35.9,16.1,46.9,19.5,34,33.7	1
Test problem 10	Path10_208_209	97,35.9,18.9,45.1,19.6,34.6,31.6	2
Test problem 10	Path10_210_210	97,35.9,19.8,30.9,31.9,21.6,45.4	1
Test problem 10	Path10_211_212	97,36,16,46.6,18.6,34.7,33.8	2
Test problem 10	Path10_213_213	97,36,16.1,47.1,19.5,33.7,34	1
Test problem 10	Path10_214_214	97,36,16.2,34,25,30.7,42.7	1
Test problem 10	Path10_215_215	97,36,16.2,34.4,24.7,30.7,42.9	1
Test problem 10	Path10_216_217	97,36,19,45.4,20.4,33.8,31.6	2
Test problem 10	Path10_218_219	97,36.1,16,46.8,18.6,34.4,34.1	2
Test problem 10	Path10_220_221	97,36.1,16.1,46.9,19.4,33.9,33.8	2
Test problem 10	Path10_222_222	97,36.1,16.3,34.3,25.8,29.9,42.7	1
Test problem 10	Path10_223_223	97,36.1,16.3,34.7,25.5,29.9,42.9	1
Test problem 10	Path10_224_225	97,36.2,16.1,47.1,19.4,33.6,34.1	2
Test problem 10	Path10_226_226	97,36.3,16.3,32.3,30.7,20.5,49.2	1
Test problem 10	Path10_227_227	97,36.3,16.3,32.7,30.4,20.5,49.4	1
Test problem 10	Path10_228_228	97,36.3,18.4,44.8,19.3,35.7,31.8	1
Test problem 10	Path10_229_229	97,36.3,19.8,30,31.8,22,45.8	1
Test problem 10	Path10_230_230	97,36.5,16.3,32.3,31.4,20.6,48.9	1
Test problem 10	Path10_231_231	97,36.5,16.3,32.7,31.1,20.6,49.1	1
Test problem 10	Path10_232_233	97,36.5,18.4,44.8,19.2,35.6,31.9	2
Test problem 10	Path10_234_234	97,36.5,19.8,30.4,31.4,22.1,45.7	1
Test problem 10	Path10_235_235	97,36.6,16.9,34.2,25.6,19.4,51.6	1
Test problem 10	Path10_236_236	97,36.6,16.9,34.6,25.3,19.4,51.8	1
Test problem 10	Path10_237_238	97,36.7,13.7,45.7,16.3,39.1,31.3	2
Test problem 10	Path10_239_239	97,36.7,16.3,32.7,31,20.7,48.8	1
Test problem 10	Path10_240_240	97,36.7,16.3,33.1,30.7,20.7,49	1
Test problem 10	Path10_241_241	97,36.7,16.5,33.1,25.6,19.4,49.8	1
Test problem 10	Path10_242_242	97,36.7,16.5,33.5,25.3,19.4,51	1
Test problem 10	Path10_243_243	97,36.7,16.6,33.8,25.5,20.6,48.4	1
Test problem 10	Path10_244_245	97,36.8,13.7,45.9,16.3,38.8,31.6	2
Test problem 10	Path10_246_246	97,36.8,18.9,45.1,18.7,35,31.8	1
Test problem 10	Path10_247_247	97,36.8,19.8,30.4,31.9,21.9,45.5	1
Test problem 10	Path10_248_248	97,36.9,15.9,32,30.7,20.5,50.2	1
Test problem 10	Path10_249_249	97,36.9,15.9,32.4,30.4,20.5,50.4	1
Test problem 10	Path10_250_250	97,36.9,16.3,32.7,31.2,20.2,48.8	1
Test problem 10	Path10_251_251	97,36.9,16.3,33.1,30.9,20.2,49	1
Test problem 10	Path10_252_252	97,36.9,16.6,33.8,26.2,20.7,48.1	1
Test problem 10	Path10_253_253	97,36.9,19,45.4,19.5,34.2,31.8	1
Test problem 10	Path10_254_254	97,37,16.9,34,25.2,19.8,52.2	1
Test problem 10	Path10_255_255	97,37,16.9,34.4,24.9,19.8,52.4	1
Test problem 10	Path10_256_257	97,37,18.9,45.1,18.6,34.9,31.9	2
